id;province_id;name;code
460;31;Kabupaten Buru Selatan;81.09
461;31;Kota Ambon;81.71
462;31;Kota Tual;81.72
463;32;Kabupaten Halmahera Barat;82.01
464;32;Kabupaten Halmahera Tengah;82.02
465;32;Kabupaten Halmahera Utara;82.03
466;32;Kabupaten Halmahera Selatan;82.04
467;32;Kabupaten Kepulauan Sula;82.05
468;32;Kabupaten Halmahera Timur;82.06
469;32;Kabupaten Pulau Morotai;82.07
470;32;Kabupaten Pulau Taliabu;82.08
471;32;Kota Ternate;82.71
472;32;Kota Tidore Kepulauan;82.72
473;33;Kabupaten Jayapura;91.03
474;33;Kabupaten Kepulauan Yapen;91.05
475;33;Kabupaten Biak Numfor;91.06
476;33;Kabupaten Sarmi;91.10
477;33;Kabupaten Keerom;91.11
478;33;Kabupaten Waropen;91.15
479;33;Kabupaten Supiori;91.19
480;33;Kabupaten Mamberamo Raya;91.20
481;33;Kota Jayapura;91.71
482;34;Kabupaten Sorong;92.01
483;34;Kabupaten Manokwari;92.02
484;34;Kabupaten Fak Fak;92.03
485;34;Kabupaten Sorong Selatan;92.04
486;34;Kabupaten Raja Ampat;92.05
487;34;Kabupaten Teluk Bintuni;92.06
488;34;Kabupaten Teluk Wondama;92.07
489;34;Kabupaten Kaimana;92.08
490;34;Kabupaten Tambrauw;92.09
491;34;Kabupaten Maybrat;92.10
492;34;Kabupaten Manokwari Selatan;92.11
493;34;Kabupaten Pegunungan Arfak;92.12
494;34;Kota Sorong;92.71
495;35;Kabupaten Merauke;93.01
496;35;Kabupaten Boven Digoel;93.02
497;35;Kabupaten Mappi;93.03
498;35;Kabupaten Asmat;93.04
499;36;Kabupaten Nabire;94.01
500;36;Kabupaten Puncak Jaya;94.02
501;36;Kabupaten Paniai;94.03
502;36;Kabupaten Mimika;94.04
503;36;Kabupaten Puncak;94.05
504;36;Kabupaten Dogiyai;94.06
505;36;Kabupaten Intan Jaya;94.07
506;36;Kabupaten Deiyai;94.08
507;37;Kabupaten Jayawijaya;95.01
508;37;Kabupaten Pegunungan Bintang;95.02
509;37;Kabupaten Yahukimo;95.03
510;37;Kabupaten Tolikara;95.04
511;37;Kabupaten Mamberamo Tengah;95.05
512;37;Kabupaten Yalimo;95.06
513;37;Kabupaten Lanny Jaya;95.07
514;37;Kabupaten Nduga;95.08
